account_rewards,date
8050.277277526911,2022-01-04
8452.611529922462,2022-01-05
1191.6568298339844,2022-01-06
23118.976806640625,2022-01-07
1758.9055480957031,2022-01-10
-2337.6466217041016,2022-01-11
-11128.869003295898,2022-01-12
160.99327087402344,2022-01-13
15399.379043579102,2022-01-14
-31301.12808227539,2022-01-17
3923.4483184814453,2022-01-18
-872.8902282714844,2022-01-19
7441.563140869141,2022-01-20
-29794.456787109375,2022-01-21
40332.100189208984,2022-01-24
8034.276138305664,2022-01-25
-17651.371353149414,2022-01-27
11143.05517578125,2022-01-28
5435.349700927734,2022-01-31
1587.5390014648438,2022-02-01
5638.85406494129,2022-02-02
-4988.190338134649,2022-02-03
-13410.748443603516,2022-02-04
9698.352355957031,2022-02-07
32057.59475707996,2022-02-08
-9063.98501586914,2022-02-09
-11885.921844482422,2022-02-10
-35879.370651245,2022-02-11
32567.352096557617,2022-02-14
-4089.3846893310547,2022-02-15
141.0538787841797,2022-02-16
284.5206298828125,2022-02-17
253.5196533203125,2022-02-18
-98.85954284667969,2022-02-21
11259.816284179571,2022-02-22
-54346.48799133289,2022-02-23
22875.8321685791,2022-02-24
5850.445159912109,2022-02-25
-34740.29461669922,2022-02-28
-19419.979949951172,2022-03-02
-41240.86193847656,2022-03-03
-43088.28163146973,2022-03-04
-891.3002878113184,2022-03-07
23103.40329595958,2022-03-08
20268.625762939453,2022-03-09
-6749.681335449219,2022-03-10
22475.123077392578,2022-03-11
11036.04867553711,2022-03-14
9129.53515625,2022-03-15
29909.118530273438,2022-03-16
-1165.053466796875,2022-03-17
6660.171081542969,2022-03-21
-11683.9443359375,2022-03-22
-14449.318176269531,2022-03-23
-21593.341064453125,2022-03-24
6353.67578125,2022-03-25
-2216.1799926757812,2022-03-28
12617.788024902344,2022-03-29
-1314.2655029296875,2022-03-30
11922.089721679688,2022-03-31
5613.431884765625,2022-04-01
4384.763366699219,2022-04-04
